contract,report,vulns
smartbugs-curated/dataset/unchecked_low_level_calls/0x89c1b3807d4c67df034fffb62f3509561218d30b,unchecked_low_level_calls/0x89c1b3807d4c67df034fffb62f3509561218d30b/0x89c1b3807d4c67df034fffb62f3509561218d30b_vulns.json,7
smartbugs-curated/dataset/unchecked_low_level_calls/0x4051334adc52057aca763453820cb0e045076ef3,unchecked_low_level_calls/0x4051334adc52057aca763453820cb0e045076ef3/0x4051334adc52057aca763453820cb0e045076ef3_vulns.json,1
smartbugs-curated/dataset/unchecked_low_level_calls/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7,unchecked_low_level_calls/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7_vulns.json,2
smartbugs-curated/dataset/unchecked_low_level_calls/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e,unchecked_low_level_calls/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e_vulns.json,5
smartbugs-curated/dataset/unchecked_low_level_calls/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,unchecked_low_level_calls/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2_vulns.json,2
smartbugs-curated/dataset/unchecked_low_level_calls/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6,unchecked_low_level_calls/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6_vulns.json,1
smartbugs-curated/dataset/unchecked_low_level_calls/0x7d09edb07d23acb532a82be3da5c17d9d85806b4,unchecked_low_level_calls/0x7d09edb07d23acb532a82be3da5c17d9d85806b4/0x7d09edb07d23acb532a82be3da5c17d9d85806b4_vulns.json,5
smartbugs-curated/dataset/unchecked_low_level_calls/0x663e4229142a27f00bafb5d087e1e730648314c3,unchecked_low_level_calls/0x663e4229142a27f00bafb5d087e1e730648314c3/0x663e4229142a27f00bafb5d087e1e730648314c3_vulns.json,19
smartbugs-curated/dataset/unchecked_low_level_calls/king_of_the_ether_throne,unchecked_low_level_calls/king_of_the_ether_throne/king_of_the_ether_throne_vulns.json,11
smartbugs-curated/dataset/unchecked_low_level_calls/0x8fd1e427396ddb511533cf9abdbebd0a7e08da35,unchecked_low_level_calls/0x8fd1e427396ddb511533cf9abdbebd0a7e08da35/0x8fd1e427396ddb511533cf9abdbebd0a7e08da35_vulns.json,3
smartbugs-curated/dataset/unchecked_low_level_calls/0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8,unchecked_low_level_calls/0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8/0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8_vulns.json,2
smartbugs-curated/dataset/unchecked_low_level_calls/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,unchecked_low_level_calls/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c_vulns.json,1
smartbugs-curated/dataset/unchecked_low_level_calls/etherpot_lotto,unchecked_low_level_calls/etherpot_lotto/etherpot_lotto_vulns.json,3
smartbugs-curated/dataset/unchecked_low_level_calls/0x5aa88d2901c68fda244f1d0584400368d2c8e739,unchecked_low_level_calls/0x5aa88d2901c68fda244f1d0584400368d2c8e739/0x5aa88d2901c68fda244f1d0584400368d2c8e739_vulns.json,1
smartbugs-curated/dataset/unchecked_low_level_calls/0xf2570186500a46986f3139f65afedc2afe4f445d,unchecked_low_level_calls/0xf2570186500a46986f3139f65afedc2afe4f445d/0xf2570186500a46986f3139f65afedc2afe4f445d_vulns.json,1
smartbugs-curated/dataset/unchecked_low_level_calls/0xd5967fed03e85d1cce44cab284695b41bc675b5c,unchecked_low_level_calls/0xd5967fed03e85d1cce44cab284695b41bc675b5c/0xd5967fed03e85d1cce44cab284695b41bc675b5c_vulns.json,1
smartbugs-curated/dataset/unchecked_low_level_calls/0x39cfd754c85023648bf003bea2dd498c5612abfa,unchecked_low_level_calls/0x39cfd754c85023648bf003bea2dd498c5612abfa/0x39cfd754c85023648bf003bea2dd498c5612abfa_vulns.json,3
smartbugs-curated/dataset/unchecked_low_level_calls/0xdb1c55f6926e7d847ddf8678905ad871a68199d2,unchecked_low_level_calls/0xdb1c55f6926e7d847ddf8678905ad871a68199d2/0xdb1c55f6926e7d847ddf8678905ad871a68199d2_vulns.json,2
smartbugs-curated/dataset/unchecked_low_level_calls/0x52d2e0f9b01101a59b38a3d05c80b7618aeed984,unchecked_low_level_calls/0x52d2e0f9b01101a59b38a3d05c80b7618aeed984/0x52d2e0f9b01101a59b38a3d05c80b7618aeed984_vulns.json,4
smartbugs-curated/dataset/unchecked_low_level_calls/0x524960d55174d912768678d8c606b4d50b79d7b1,unchecked_low_level_calls/0x524960d55174d912768678d8c606b4d50b79d7b1/0x524960d55174d912768678d8c606b4d50b79d7b1_vulns.json,1
smartbugs-curated/dataset/unchecked_low_level_calls/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,unchecked_low_level_calls/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_vulns.json,3
smartbugs-curated/dataset/unchecked_low_level_calls/0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4,unchecked_low_level_calls/0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4/0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4_vulns.json,2
smartbugs-curated/dataset/unchecked_low_level_calls/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,unchecked_low_level_calls/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859_vulns.json,1
smartbugs-curated/dataset/unchecked_low_level_calls/lotto,unchecked_low_level_calls/lotto/lotto_vulns.json,5
smartbugs-curated/dataset/unchecked_low_level_calls/0xa46edd6a9a93feec36576ee5048146870ea2c3ae,unchecked_low_level_calls/0xa46edd6a9a93feec36576ee5048146870ea2c3ae/0xa46edd6a9a93feec36576ee5048146870ea2c3ae_vulns.json,1
smartbugs-curated/dataset/unchecked_low_level_calls/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87,unchecked_low_level_calls/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87_vulns.json,2
smartbugs-curated/dataset/unchecked_low_level_calls/0x2972d548497286d18e92b5fa1f8f9139e5653fd2,unchecked_low_level_calls/0x2972d548497286d18e92b5fa1f8f9139e5653fd2/0x2972d548497286d18e92b5fa1f8f9139e5653fd2_vulns.json,1
smartbugs-curated/dataset/bad_randomness/guess_the_random_number,bad_randomness/guess_the_random_number/guess_the_random_number_vulns.json,3
smartbugs-curated/dataset/bad_randomness/random_number_generator,bad_randomness/random_number_generator/random_number_generator_vulns.json,1
smartbugs-curated/dataset/bad_randomness/old_blockhash,bad_randomness/old_blockhash/old_blockhash_vulns.json,0
smartbugs-curated/dataset/bad_randomness/smart_billions,bad_randomness/smart_billions/smart_billions_vulns.json,19
smartbugs-curated/dataset/bad_randomness/lottery,bad_randomness/lottery/lottery_vulns.json,2
smartbugs-curated/dataset/bad_randomness/lucky_doubler,bad_randomness/lucky_doubler/lucky_doubler_vulns.json,7
smartbugs-curated/dataset/bad_randomness/blackjack,bad_randomness/blackjack/blackjack_vulns.json,5
smartbugs-curated/dataset/bad_randomness/etheraffle,bad_randomness/etheraffle/etheraffle_vulns.json,0
smartbugs-curated/dataset/arithmetic/timelock,arithmetic/timelock/timelock_vulns.json,0
smartbugs-curated/dataset/arithmetic/integer_overflow_add,arithmetic/integer_overflow_add/integer_overflow_add_vulns.json,0
smartbugs-curated/dataset/arithmetic/tokensalechallenge,arithmetic/tokensalechallenge/tokensalechallenge_vulns.json,0
smartbugs-curated/dataset/arithmetic/integer_overflow_mul,arithmetic/integer_overflow_mul/integer_overflow_mul_vulns.json,0
smartbugs-curated/dataset/arithmetic/token,arithmetic/token/token_vulns.json,1
smartbugs-curated/dataset/arithmetic/integer_overflow_multitx_onefunc_feasible,arithmetic/integer_overflow_multitx_onefunc_feasible/integer_overflow_multitx_onefunc_feasible_vulns.json,0
smartbugs-curated/dataset/arithmetic/insecure_transfer,arithmetic/insecure_transfer/insecure_transfer_vulns.json,1
smartbugs-curated/dataset/arithmetic/overflow_single_tx,arithmetic/overflow_single_tx/overflow_single_tx_vulns.json,0
smartbugs-curated/dataset/arithmetic/overflow_simple_add,arithmetic/overflow_simple_add/overflow_simple_add_vulns.json,0
smartbugs-curated/dataset/arithmetic/integer_overflow_benign_1,arithmetic/integer_overflow_benign_1/integer_overflow_benign_1_vulns.json,0
smartbugs-curated/dataset/arithmetic/integer_overflow_1,arithmetic/integer_overflow_1/integer_overflow_1_vulns.json,0
smartbugs-curated/dataset/arithmetic/BECToken,arithmetic/BECToken/BECToken_vulns.json,0
smartbugs-curated/dataset/arithmetic/integer_overflow_mapping_sym_1,arithmetic/integer_overflow_mapping_sym_1/integer_overflow_mapping_sym_1_vulns.json,0
smartbugs-curated/dataset/arithmetic/integer_overflow_minimal,arithmetic/integer_overflow_minimal/integer_overflow_minimal_vulns.json,0
smartbugs-curated/dataset/arithmetic/integer_overflow_multitx_multifunc_feasible,arithmetic/integer_overflow_multitx_multifunc_feasible/integer_overflow_multitx_multifunc_feasible_vulns.json,0
smartbugs-curated/dataset/denial_of_service/dos_number,denial_of_service/dos_number/dos_number_vulns.json,0
smartbugs-curated/dataset/denial_of_service/dos_address,denial_of_service/dos_address/dos_address_vulns.json,1
smartbugs-curated/dataset/denial_of_service/send_loop,denial_of_service/send_loop/send_loop_vulns.json,1
smartbugs-curated/dataset/denial_of_service/auction,denial_of_service/auction/auction_vulns.json,0
smartbugs-curated/dataset/denial_of_service/list_dos,denial_of_service/list_dos/list_dos_vulns.json,9
smartbugs-curated/dataset/denial_of_service/dos_simple,denial_of_service/dos_simple/dos_simple_vulns.json,0
smartbugs-curated/dataset/reentrancy/reentrancy_simple,reentrancy/reentrancy_simple/reentrancy_simple_vulns.json,1
smartbugs-curated/dataset/reentrancy/etherbank,reentrancy/etherbank/etherbank_vulns.json,1
smartbugs-curated/dataset/reentrancy/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,reentrancy/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f_vulns.json,2
smartbugs-curated/dataset/reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1_vulns.json,2
smartbugs-curated/dataset/reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e_vulns.json,2
smartbugs-curated/dataset/reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5,reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5/0x93c32845fae42c83a70e5f06214c8433665c2ab5_vulns.json,2
smartbugs-curated/dataset/reentrancy/0x7a8721a9d64c74da899424c1b52acbf58ddc9782,reentrancy/0x7a8721a9d64c74da899424c1b52acbf58ddc9782/0x7a8721a9d64c74da899424c1b52acbf58ddc9782_vulns.json,2
smartbugs-curated/dataset/reentrancy/reentrancy_insecure,reentrancy/reentrancy_insecure/reentrancy_insecure_vulns.json,1
smartbugs-curated/dataset/reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b_vulns.json,2
smartbugs-curated/dataset/reentrancy/reentrancy_bonus,reentrancy/reentrancy_bonus/reentrancy_bonus_vulns.json,2
smartbugs-curated/dataset/reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f_vulns.json,2
smartbugs-curated/dataset/reentrancy/reentrancy_cross_function,reentrancy/reentrancy_cross_function/reentrancy_cross_function_vulns.json,2
smartbugs-curated/dataset/reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68,reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68/0xf015c35649c82f5467c9c74b7f28ee67665aad68_vulns.json,2
smartbugs-curated/dataset/reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106,reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106/0x4e73b32ed6c35f570686b89848e5f39f20ecc106_vulns.json,2
smartbugs-curated/dataset/reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8_vulns.json,2
smartbugs-curated/dataset/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e_vulns.json,2
smartbugs-curated/dataset/reentrancy/simple_dao,reentrancy/simple_dao/simple_dao_vulns.json,1
smartbugs-curated/dataset/reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e,reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e/0x941d225236464a25eb18076df7da6a91d0f95e9e_vulns.json,2
smartbugs-curated/dataset/reentrancy/spank_chain_payment,reentrancy/spank_chain_payment/spank_chain_payment_vulns.json,20
smartbugs-curated/dataset/reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344,reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344/0x8c7777c45481dba411450c228cb692ac3d550344_vulns.json,2
smartbugs-curated/dataset/reentrancy/etherstore,reentrancy/etherstore/etherstore_vulns.json,1
smartbugs-curated/dataset/reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4_vulns.json,2
smartbugs-curated/dataset/reentrancy/reentrance,reentrancy/reentrance/reentrance_vulns.json,1
smartbugs-curated/dataset/reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3_vulns.json,2
smartbugs-curated/dataset/reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12_vulns.json,2
smartbugs-curated/dataset/reentrancy/reentrancy_dao,reentrancy/reentrancy_dao/reentrancy_dao_vulns.json,1
smartbugs-curated/dataset/reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615,reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615/0x7541b76cb60f4c60af330c208b0623b7f54bf615_vulns.json,2
smartbugs-curated/dataset/reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_vulns.json,3
smartbugs-curated/dataset/reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31,reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31/0x561eac93c92360949ab1f1403323e6db345cbf31_vulns.json,2
smartbugs-curated/dataset/reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888_vulns.json,2
smartbugs-curated/dataset/reentrancy/modifier_reentrancy,reentrancy/modifier_reentrancy/modifier_reentrancy_vulns.json,1
smartbugs-curated/dataset/time_manipulation/ether_lotto,time_manipulation/ether_lotto/ether_lotto_vulns.json,3
smartbugs-curated/dataset/time_manipulation/roulette,time_manipulation/roulette/roulette_vulns.json,3
smartbugs-curated/dataset/time_manipulation/governmental_survey,time_manipulation/governmental_survey/governmental_survey_vulns.json,4
smartbugs-curated/dataset/time_manipulation/timed_crowdsale,time_manipulation/timed_crowdsale/timed_crowdsale_vulns.json,0
smartbugs-curated/dataset/time_manipulation/lottopollo,time_manipulation/lottopollo/lottopollo_vulns.json,3
smartbugs-curated/dataset/short_addresses/short_address_example,short_addresses/short_address_example/short_address_example_vulns.json,0
smartbugs-curated/dataset/front_running/ERC20,front_running/ERC20/ERC20_vulns.json,0
smartbugs-curated/dataset/front_running/odds_and_evens,front_running/odds_and_evens/odds_and_evens_vulns.json,1
smartbugs-curated/dataset/front_running/FindThisHash,front_running/FindThisHash/FindThisHash_vulns.json,1
smartbugs-curated/dataset/front_running/eth_tx_order_dependence_minimal,front_running/eth_tx_order_dependence_minimal/eth_tx_order_dependence_minimal_vulns.json,0
smartbugs-curated/dataset/other/crypto_roulette,other/crypto_roulette/crypto_roulette_vulns.json,4
smartbugs-curated/dataset/other/open_address_lottery,other/open_address_lottery/open_address_lottery_vulns.json,2
smartbugs-curated/dataset/other/name_registrar,other/name_registrar/name_registrar_vulns.json,1
smartbugs-curated/dataset/access_control/arbitrary_location_write_simple,access_control/arbitrary_location_write_simple/arbitrary_location_write_simple_vulns.json,2
smartbugs-curated/dataset/access_control/incorrect_constructor_name3,access_control/incorrect_constructor_name3/incorrect_constructor_name3_vulns.json,0
smartbugs-curated/dataset/access_control/parity_wallet_bug_2,access_control/parity_wallet_bug_2/parity_wallet_bug_2_vulns.json,4
smartbugs-curated/dataset/access_control/phishable,access_control/phishable/phishable_vulns.json,2
smartbugs-curated/dataset/access_control/FibonacciBalance,access_control/FibonacciBalance/FibonacciBalance_vulns.json,4
smartbugs-curated/dataset/access_control/proxy,access_control/proxy/proxy_vulns.json,1
smartbugs-curated/dataset/access_control/incorrect_constructor_name2,access_control/incorrect_constructor_name2/incorrect_constructor_name2_vulns.json,0
smartbugs-curated/dataset/access_control/wallet_04_confused_sign,access_control/wallet_04_confused_sign/wallet_04_confused_sign_vulns.json,0
smartbugs-curated/dataset/access_control/rubixi,access_control/rubixi/rubixi_vulns.json,6
smartbugs-curated/dataset/access_control/wallet_02_refund_nosub,access_control/wallet_02_refund_nosub/wallet_02_refund_nosub_vulns.json,0
smartbugs-curated/dataset/access_control/simple_suicide,access_control/simple_suicide/simple_suicide_vulns.json,1
smartbugs-curated/dataset/access_control/incorrect_constructor_name1,access_control/incorrect_constructor_name1/incorrect_constructor_name1_vulns.json,0
smartbugs-curated/dataset/access_control/multiowned_vulnerable,access_control/multiowned_vulnerable/multiowned_vulnerable_vulns.json,0
smartbugs-curated/dataset/access_control/mapping_write,access_control/mapping_write/mapping_write_vulns.json,2
smartbugs-curated/dataset/access_control/wallet_03_wrong_constructor,access_control/wallet_03_wrong_constructor/wallet_03_wrong_constructor_vulns.json,0
smartbugs-curated/dataset/access_control/mycontract,access_control/mycontract/mycontract_vulns.json,2
smartbugs-curated/dataset/access_control/unprotected0,access_control/unprotected0/unprotected0_vulns.json,0
